Data File,Column Name,Description
BehaviorAllocations_SummarizedObservations.csv,perc.feed,Proportion of total time on-plant observed feeding (secFeed/secPlant)
RadioTagged_RawBearings.csv,Operator,Person who collected bearing information
RadioTagged_RawBearings.csv,EstimationOrder,"Order of data collection (1=first location, 2=second location….)"
RadioTagged_RawBearings.csv,ID,Butterfly ID for lab purposes (means nothing specific)
RadioTagged_RawBearings.csv,Northing,UTM northing where the operator was stationed to collect bearing information
RadioTagged_RawBearings.csv,Easting,UTM easting where the operator was stationed to collect bearing information
RadioTagged_RawBearings.csv,Bearing,Estimated bearing in the direction of the strongest signal
RadioTagged_RawBearings.csv,Monarch,Monarch identifier - correspondes to supplemental figure 1 in manuscript
RadioTagged_SummarizedEstimatedLocations.csv,ID,Butterfly ID for lab purposes (means nothing specific)
RadioTagged_SummarizedEstimatedLocations.csv,Monarch,Monarch identifier - correspondes to supplemental figure 1 in manuscript
RadioTagged_SummarizedEstimatedLocations.csv,Order,"Order of data collection (1=first location, 2=second location….)"
RadioTagged_SummarizedEstimatedLocations.csv,cov.xx,Estimation of error ellipse covariate x
RadioTagged_SummarizedEstimatedLocations.csv,cov.yy,Estimation of error ellipse covariate y
RadioTagged_SummarizedEstimatedLocations.csv,cov.xy,Estimation of error ellipse covariate x and y (tilt)
RadioTagged_SummarizedEstimatedLocations.csv,Area,Area of error ellipse (in meters squared)
RadioTagged_SummarizedEstimatedLocations.csv,TimeCDT,"Estimate of time in central time - this time does not correlate to when the butterflies were observed, it is just a place holder to use in analysis and calculations. All studies were conducted on clear or mostly clear days between 1000 h and 1500 h with temperatures between 21-30 degrees C and winds were below 16 kph. Telemetry observations occurred on August 3, 4, 16, 17, 19, 2016."
RadioTagged_SummarizedEstimatedLocations.csv,TimeGMT,"Estimate of time in greenwich mean time - this time does not correlate to when the butterflies were observed, it is just a place holder to use in analysis and calculations. All studies were conducted on clear or mostly clear days between 1000 h and 1500 h with temperatures between 21-30 degrees C and winds were below 16 kph. Telemetry observations occurred on August 3, 4, 16, 17, 19, 2016."
RadioTagged_SummarizedEstimatedLocations.csv,Year,Year of observations (all were 2016)
RadioTagged_SummarizedEstimatedLocations.csv,Date,"Place holder for date of observations to use in analyses. Telemetry observations occurred on August 3, 4, 16, 17, 19, 2016."
RadioTagged_SummarizedEstimatedLocations.csv,individual.local.identifier,Monarch identifier - correspondes to supplemental figure 1 in manuscript
RadioTagged_SummarizedEstimatedLocations.csv,location.long,Estimated location of butterfly - longitude (NAD83)
RadioTagged_SummarizedEstimatedLocations.csv,location.lat,Estimated location of butterfly - latitude (NAD83)
RadioTagged_SummarizedEstimatedLocations.csv,timestamp,appropriate format of placeholder date and time to use in analyses
RadioTagged_SummarizedEstimatedLocations.csv,argos.semi.major,converted cov.xx to be used in ctmm in R
RadioTagged_SummarizedEstimatedLocations.csv,argos.semi.minor,converted cov.yy to be used in ctmm in R
RadioTagged_SummarizedEstimatedLocations.csv,argos.orientation,converted cov.xy to be used in ctmm in R
RadioTagged_SummarizedEstimatedLocations.csv,turnangle,Turn angle between 3 sequential estimated locations calculated in GME
RadioTagged_SummarizedEstimatedLocations.csv,steplength,Distance between 2 sequential estimated locations calculated in GME
RadioTagged_SummarizedEstimatedLocations.csv,bearing,Direction of movement calculated in GME
